CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,30 Years,118.107298,17.621046,429.601034
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,30 Years,118.074692,17.617626,429.471117
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,30 Years,118.107048,17.621020,429.600038
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,30 Years,118.102977,17.620593,429.583822
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,30 Years,118.107298,17.621046,429.601034
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,30 Years,118.761992,17.687295,432.069827
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,30 Years,116.873239,17.488240,424.506663
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,30 Years,118.747138,17.685754,432.011286
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,30 Years,117.928335,17.600222,428.761469
