CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,30 Years,85.200790,12.917284,252.432704
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,30 Years,85.217945,12.920724,252.563076
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,30 Years,85.200922,12.917310,252.433703
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,30 Years,85.203438,12.917815,252.452833
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,30 Years,86.109932,13.092740,258.974914
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,30 Years,86.958001,13.257674,265.227247
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,30 Years,86.116159,13.093963,259.021272
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,30 Years,86.549243,13.178582,262.229001
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,5 Years,104.329748,4.497433,21.590601
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,10 Years,104.717554,8.025864,73.801587
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,20 Years,101.072347,12.708919,211.536314
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,30 Years,85.251169,12.943011,253.447201
