CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,30 Years,101.888099,15.676767,356.261955
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,30 Years,101.889736,15.676997,356.270692
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,30 Years,101.888111,15.676769,356.262022
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,30 Years,101.888385,15.676807,356.263480
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,5 Years,104.355477,4.497400,21.590276
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,10 Years,104.725775,8.025063,73.789803
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,20 Years,101.059006,12.701394,211.323693
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,30 Years,101.888099,15.676767,356.261955
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,30 Years,101.946160,15.683409,356.474385
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,30 Years,101.912434,15.678670,356.294494
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,30 Years,101.945901,15.683373,356.473004
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.330918,4.497444,21.590585
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.735248,8.025752,73.798508
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.107435,12.705222,211.411560
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,30 Years,101.996364,15.690458,356.741951
