CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,5 Years,104.355477,4.497382,21.590233
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,10 Years,104.726730,8.024965,73.789474
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,20 Years,101.064140,12.696642,211.174215
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,30 Years,101.894357,15.666949,355.899201
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,5 Years,104.355477,4.497382,21.590233
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,10 Years,104.726730,8.024965,73.789474
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,20 Years,101.064140,12.696642,211.174215
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,30 Years,101.895672,15.667134,355.906223
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,5 Years,104.355477,4.497382,21.590233
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,10 Years,104.726730,8.024965,73.789474
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,20 Years,101.064140,12.696642,211.174215
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,30 Years,101.894367,15.666950,355.899255
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,5 Years,104.355477,4.497382,21.590233
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,10 Years,104.726730,8.024965,73.789474
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,20 Years,101.064140,12.696642,211.174215
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,30 Years,101.894588,15.666981,355.900439
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,5 Years,104.330918,4.497426,21.590542
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,10 Years,104.736031,8.025650,73.798136
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,20 Years,101.112842,12.700561,211.264986
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,30 Years,101.948014,15.673158,356.096348
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,5 Years,104.330918,4.497426,21.590542
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,10 Years,104.736031,8.025650,73.798136
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,20 Years,101.112842,12.700561,211.264986
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,30 Years,101.915684,15.668613,355.923810
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,5 Years,104.330918,4.497426,21.590542
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,10 Years,104.736031,8.025650,73.798136
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,20 Years,101.112842,12.700561,211.264986
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,30 Years,101.947766,15.673123,356.095024
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,5 Years,104.330918,4.497426,21.590542
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,10 Years,104.736031,8.025650,73.798136
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,20 Years,101.112842,12.700561,211.264986
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,30 Years,101.988792,15.678886,356.313818
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,5 Years,104.329748,4.497416,21.590558
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,10 Years,104.718951,8.025773,73.801369
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,20 Years,101.077021,12.703916,211.379790
