CurveName,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,1193069.131281,14.102954,397.279522
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,1114430.203962,11.204186,196.496906
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,1128446.174184,11.553549,214.003079
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,1174959.941853,13.393758,344.845002
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,1193069.131281,14.102954,397.279522
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,1120107.756053,11.360418,205.154612
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,1100412.237605,10.881744,181.443234
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,1108799.615190,11.044524,188.038950
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,1112627.801035,11.180501,196.201800
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_ZERO,1193069.131281,14.102954,397.279522
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,1166910.837476,13.096652,322.720400
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_FORWARD,1114164.448603,11.214594,196.854353
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_FORWARD,1125859.408497,11.506141,211.448698
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_FORWARD,1166910.837476,13.096652,322.720400
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,1166910.837476,13.096652,322.720400
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,1119854.579230,11.369837,205.485405
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,1100229.613484,10.893007,181.864659
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,1108590.050933,11.055212,188.437390
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,1113011.868940,11.205429,197.304087
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_ZERO,1166910.837476,13.096652,322.720400
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,1310296.043929,18.671599,752.794949
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,1112012.807414,11.184747,196.016933
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,1131551.359704,11.672645,220.515647
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,1202441.907588,14.570638,433.778481
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,1310296.043929,18.671599,752.794949
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,1117796.544477,11.340712,204.740209
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,1097741.728328,10.851553,180.510644
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,1106266.048936,11.017592,187.235878
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,1108543.646503,11.117062,193.616461
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,1310296.043929,18.671599,752.794949
FITTED_NELSON_SIEGEL:FLAT_FORWARD,1124159.789451,11.309113,199.413244
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,1119120.793533,11.155196,190.426703
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,1121240.341149,11.207941,193.060314
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,1123284.784674,11.281858,197.791600
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,1124159.789451,11.309113,199.413244
FITTED_NELSON_SIEGEL:FLAT_ZERO,1120810.756867,11.198889,192.920223
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,1113183.185784,11.017341,184.018860
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,1116671.861894,11.084319,186.746367
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,1119888.377648,11.177189,191.857149
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,1124159.789451,11.309113,199.413244
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,1182845.290640,13.855437,380.010277
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,1110378.896754,11.185164,196.219872
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,1123816.803595,11.521623,213.068102
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,1153528.314454,12.711017,296.739144
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_FORWARD,1182845.290640,13.855437,380.010277
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,1115655.227205,11.325057,204.043090
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,1096966.163741,10.869361,181.504544
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,1104967.506332,11.025306,187.819970
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,1109164.581320,11.168299,196.250763
FITTED_NELSON_SIEGEL_SVENSSON:DUAL_BLENDED_ZERO,1182845.290640,13.855437,380.010277
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,1127488.130369,11.275416,197.810994
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,1122454.583425,11.121810,188.837206
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,1124565.162665,11.174243,191.455149
