CurveName,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,1061709.348621,10.102545,148.485945
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,1066474.554669,10.231199,154.850612
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,1062570.383848,10.128182,149.835496
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,1061960.543920,10.108300,148.734022
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,1066812.135609,10.221751,153.885711
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,1081405.542529,10.578924,170.718891
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,1073052.326554,10.406993,163.709750
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,1070606.804801,10.311602,157.980230
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,1060884.227080,10.107900,148.773298
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_FORWARD,1065370.363604,10.230568,154.893542
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_FORWARD,1061840.124522,10.136993,150.326886
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_FORWARD,1060884.227080,10.107900,148.773298
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,1065679.765910,10.219241,153.866974
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,1080145.589343,10.573840,170.581671
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,1071883.424399,10.403577,163.641554
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,1069089.610969,10.300022,157.545308
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,1062438.093809,10.117848,148.877118
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,1067550.288709,10.251939,155.386721
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,1062974.687014,10.132798,149.630621
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,1063050.930428,10.131281,149.438944
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,1068422.312852,10.250393,154.806101
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,1083465.454877,10.617100,172.079149
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,1074786.710664,10.438995,164.814852
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,1073928.074588,10.380567,160.752813
FITTED_NELSON_SIEGEL:FLAT_FORWARD,1063335.044594,10.429997,163.577937
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,1065600.008753,10.498766,167.324847
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,1064379.933116,10.466211,165.716069
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,1063500.345963,10.434788,163.829733
FITTED_NELSON_SIEGEL:FLAT_ZERO,1065557.143877,10.480129,166.179527
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,1070581.388956,10.605437,172.182189
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,1068036.123391,10.553157,170.059491
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,1066183.451713,10.495445,166.901009
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,1069126.385297,10.161232,151.139187
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,1073269.682202,10.280102,157.328087
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,1070582.941116,10.208744,153.818655
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,1069538.878770,10.171940,151.652039
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,1073067.634296,10.254535,155.664083
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,1083698.684002,10.516017,168.075172
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,1077961.138053,10.398454,163.290769
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,1074633.569946,10.292070,157.399587
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,1067417.815655,10.136343,150.652500
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,1071598.408445,10.256627,156.914217
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,1068891.930041,10.184567,153.371941
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,1067929.398797,10.149708,151.294230
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,1071400.035271,10.230889,155.239706
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,1081850.667375,10.488691,167.473200
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,1076223.624437,10.373076,162.771038
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,1072921.864449,10.267497,156.932857
