CurveName,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,1090673.811486,10.715285,174.976584
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,1091784.807750,10.748641,176.829109
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,1091225.272213,10.734180,176.112242
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,1090805.494129,10.719139,175.186792
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_FORWARD,1090825.650939,10.719794,175.224683
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,1092176.946795,10.754421,177.044753
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,1091771.211312,10.744513,176.565572
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,1091966.967906,10.748413,176.723947
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,1092613.958971,10.764926,177.548389
PIECEWISE_ZERO_LINEAR:DUAL_BLENDED_ZERO,1090825.650939,10.719794,175.224683
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,1090191.092306,10.726141,175.495216
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_FORWARD,1091108.037300,10.753746,177.031219
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_FORWARD,1090649.627021,10.741892,176.443512
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_FORWARD,1090191.092306,10.726141,175.495216
PIECEWISE_DISCOUNT_LOGLINEAR:DUAL_BLENDED_FORWARD,1090340.510553,10.730600,175.741514
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,1091457.616707,10.757940,177.212119
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,1091015.649359,10.747141,176.689798
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,1091228.823670,10.751390,176.862354
