Year,Month,Day,Amount
2025,1,15,4169.56
2025,2,15,4236.02
2025,3,15,4409.77
2025,4,15,4412.5
2025,5,15,4417.43
2025,6,15,4472.28
2025,7,15,4508.39
2025,8,15,4457.97
2025,9,15,4661.73
2025,10,15,4716.42
2025,11,15,4739.8
2025,12,15,4767.48
2026,1,15,4849.87
2026,2,15,4904.95
2026,3,15,4813.78
2026,4,15,4845.33
2026,5,15,4993.08
2026,6,15,5063.38
2026,7,15,4966.81
2026,8,15,5006.38
2026,9,15,4952.9
2026,10,15,5124.75
2026,11,15,5052.62
2026,12,15,5231.05
2027,1,15,5150.14
2027,2,15,5177.7
2027,3,15,5243.14
2027,4,15,5229.31
2027,5,15,5388.09
2027,6,15,5357.09
2027,7,15,5428.09
2027,8,15,5424.55
2027,9,15,5523.85
2027,10,15,5489.23
2027,11,15,5635.67
2027,12,15,5572.21
2028,1,15,5667.19
2028,2,15,5756.55
2028,3,15,5616.74
2028,4,15,5760.56
2028,5,15,5771.97
2028,6,15,5833.78
2028,7,15,5893.29
2028,8,15,5724.5
2028,9,15,5951.99
2028,10,15,5917.93
2028,11,15,6012.77
2028,12,15,6061.68
2029,1,15,5875.7
2029,2,15,6039.34
2029,3,15,6152.61
2029,4,15,6137.83
2029,5,15,6056.68
2029,6,15,6178.52
2029,7,15,5992.29
2029,8,15,6258.68
2029,9,15,6122.43
2029,10,15,6107.99
2029,11,15,6391.93
2029,12,15,6116.98
2030,1,15,6148.55
2030,2,15,6406.14
2030,3,15,6407.08
2030,4,15,6420.93
2030,5,15,6354.46
2030,6,15,6464.89
2030,7,15,6455.75
2030,8,15,6425.02
2030,9,15,6374.28
2030,10,15,6437.96
2030,11,15,6432.01
2030,12,15,6475.3
2031,1,15,6434.52
2031,2,15,6699.92
2031,3,15,6439.97
2031,4,15,6636.55
2031,5,15,6680.58
2031,6,15,6520.74
2031,7,15,6526.33
2031,8,15,6739.82
2031,9,15,6739.21
2031,10,15,6743.47
2031,11,15,6639.61
2031,12,15,6658.67
2032,1,15,6689.55
2032,2,15,6894.95
2032,3,15,6711.9
2032,4,15,6714.11
2032,5,15,6669.79
2032,6,15,6917.18
2032,7,15,6948.62
2032,8,15,6893.09
2032,9,15,6688.38
2032,10,15,6776.52
2032,11,15,6839.59
2032,12,15,6916.87
2033,1,15,6908.91
2033,2,15,6809.69
2033,3,15,6897.31
2033,4,15,6815.17
2033,5,15,6970.99
2033,6,15,6923.6
2033,7,15,6820.96
2033,8,15,6982.68
2033,9,15,7058.97
2033,10,15,7010.61
2033,11,15,6827.18
2033,12,15,6854.34
2034,1,15,7037.94
2034,2,15,6984.42
2034,3,15,7055.41
2034,4,15,6825.57
2034,5,15,7004.56
2034,6,15,7150.45
2034,7,15,6935.91
2034,8,15,6839.67
2034,9,15,6958.61
2034,10,15,6956.63
2034,11,15,6852.92
2034,12,15,6938.49
2035,1,15,6885.54
2035,2,15,7059.45
2035,3,15,6949.04
2035,4,15,7074.92
2035,5,15,7156.21
2035,6,15,6887.22
2035,7,15,7064.46
2035,8,15,7043.18
2035,9,15,6961.8
2035,10,15,7092.94
2035,11,15,6921.73
2035,12,15,6951.71
2036,1,15,6846.76
2036,2,15,6964.48
2036,3,15,6829.04
2036,4,15,6963.71
2036,5,15,6893.73
2036,6,15,7106.22
2036,7,15,6969.5
2036,8,15,6897.87
2036,9,15,6761.63
2036,10,15,7001.3
2036,11,15,6985.3
2036,12,15,6728.08
2037,1,15,6798.2
2037,2,15,6943.66
2037,3,15,6873.99
2037,4,15,6719.24
2037,5,15,6898.76
2037,6,15,6764.47
2037,7,15,6852.31
2037,8,15,6837.32
2037,9,15,6789.46
2037,10,15,6944.33
2037,11,15,6686.07
2037,12,15,6754.51
2038,1,15,6638.82
2038,2,15,6816.9
2038,3,15,6647.39
2038,4,15,6786.83
2038,5,15,6854.1
2038,6,15,6837.76
2038,7,15,6536.89
2038,8,15,6568.09
2038,9,15,6751.49
2038,10,15,6520.93
2038,11,15,6650.75
2038,12,15,6733.07
2039,1,15,6669.37
2039,2,15,6552.02
2039,3,15,6491.69
2039,4,15,6616.11
2039,5,15,6530.05
2039,6,15,6629.68
2039,7,15,6503.15
2039,8,15,6342.34
2039,9,15,6379.58
2039,10,15,6373.75
2039,11,15,6515.09
2039,12,15,6396.77
2040,1,15,6414.56
2040,2,15,6272.31
2040,3,15,6255.49
2040,4,15,6357.04
2040,5,15,6400.31
2040,6,15,6361.97
2040,7,15,6256.12
2040,8,15,6269.44
2040,9,15,6228.32
2040,10,15,6115.85
2040,11,15,6065.54
2040,12,15,6262.04
2041,1,15,6020.25
2041,2,15,6195.69
2041,3,15,6126.09
2041,4,15,5893.39
2041,5,15,6005.56
2041,6,15,5921.05
2041,7,15,6084.21
2041,8,15,6041.55
2041,9,15,5830.53
2041,10,15,5995.96
2041,11,15,5984.76
2041,12,15,5826.39
2042,1,15,5704.8
2042,2,15,5895.07
2042,3,15,5695.41
2042,4,15,5651.68
2042,5,15,5766.69
2042,6,15,5679.36
2042,7,15,5574.14
2042,8,15,5631.97
2042,9,15,5616.67
2042,10,15,5569.73
2042,11,15,5582.05
2042,12,15,5590.79
2043,1,15,5402.32
2043,2,15,5433.44
2043,3,15,5296.64
2043,4,15,5261.93
2043,5,15,5464.84
2043,6,15,5266.45
2043,7,15,5400.5
2043,8,15,5349.22
2043,9,15,5127.55
2043,10,15,5303.15
2043,11,15,5116.26
2043,12,15,5263.55
2044,1,15,5041.31
2044,2,15,4997.16
2044,3,15,5072.34
2044,4,15,5044.26
2044,5,15,5014.15
2044,6,15,5018.45
2044,7,15,4938.69
2044,8,15,4787.19
2044,9,15,4759.67
2044,10,15,4739.36
2044,11,15,4913.95
2044,12,15,4825.44
2045,1,15,4862.22
2045,2,15,4784.39
2045,3,15,4723
2045,4,15,4722.75
2045,5,15,4623.82
2045,6,15,4671.91
2045,7,15,4583.81
